Title,URL,Processed,Error,Whisper Transcription Time (MM:SS),Total Processing Time (MM:SS),Device
Jerma Streams - Hitman 3 (Part 4),https://www.youtube.com/watch?v=B1rKnQ0vrW4,True,,0:01:26
"Jerma Streams - Sorcery! (Part 2, 2nd Playthrough)",https://www.youtube.com/watch?v=svZtKkand78,True,,0:08:44
Jerma Streams - Sorcery! (2nd Playthrough),https://www.youtube.com/watch?v=PntzkdgelD8,True,,0:07:04
Jerma Streams - Tier Lists (Part 12) [Bug Edition],https://www.youtube.com/watch?v=V5QbbqdXLTk,True,,0:01:43
ERROR,https://www.youtube.com/watch?v=aD0LWTG45p8,False,"[0;31mERROR:[0m 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:28
Jerma Streams - Dorfromantik,https://www.youtube.com/watch?v=HpC82BR2gMs,True,,0:00:30
Jerma Streams - My Time at Portia,https://www.youtube.com/watch?v=4SWyCsVh7YY,True,,0:05:05
Jerma Streams - PowerWash Simulator (Part 2),https://www.youtube.com/watch?v=fNOH9CnqLdM,True,,0:04:43
Jerma Streams - Bakery Simulator,https://www.youtube.com/watch?v=qKorXn3Ipd4,True,,0:03:07
Jerma Streams - Browser Quizzes (Part 2),https://www.youtube.com/watch?v=AoMKK03Xksc,True,,0:02:43
Jerma Streams - Kyle is Famous: Complete Edition,https://www.youtube.com/watch?v=awuB5f5xb2o,True,,0:00:48
Jerma Streams -  Weird Cam Comb Stream,https://www.youtube.com/watch?v=JuX-Q4409So,True,,0:03:44
Jerma Streams - Cuphead: The Delicious Last Course,https://www.youtube.com/watch?v=Skm0eJWWfHM,True,,0:02:14
Jerma Streams - The Elder Scrolls III: Morrowind,https://www.youtube.com/watch?v=jesqDMb31Gc,True,,0:02:08
Jerma Streams - Five Nights at Freddy's,https://www.youtube.com/watch?v=6scF-PhZ1rA,True,,0:00:41
Jerma Streams - Green Screen Stream (Part 3),https://www.youtube.com/watch?v=R4MwVD8VxVc,True,,0:05:17
Jerma Streams - 100k Smite Tournament,https://www.youtube.com/watch?v=DHv2tZH0kMw,True,,0:07:03
Jerma Streams - Saints Row: The Third,https://www.youtube.com/watch?v=8SD3GrwgxGI,True,,0:05:37
Jerma Streams - Dread X Collection (Part 2),https://www.youtube.com/watch?v=Oyay0iuFw7E,True,,0:00:41
Jerma Streams - Steam Next Fest Demos (Part 2),https://www.youtube.com/watch?v=PfMZ9oepYs8,True,,0:05:16
Jerma Streams - Dread X Collection,https://www.youtube.com/watch?v=ba_VpAc2dq0,True,,0:00:41
Jerma Streams - Steam Next Fest Demos,https://www.youtube.com/watch?v=96fkPgAjHr0,True,,0:04:43
Jerma Streams - One Hand Clapping,https://www.youtube.com/watch?v=snLgRiVzucQ,True,,0:00:36
Jerma Streams - No Time,https://www.youtube.com/watch?v=b6RKLYnyO8g,True,,0:02:56
Jerma Streams - Wheel of Fortune (Part 2),https://www.youtube.com/watch?v=AphkXRqSpaw,True,,0:02:52
Jerma Streams - Unpacking,https://www.youtube.com/watch?v=XqFxIBJedUs,True,,0:02:21
Jerma Streams - Freddi Fish 1 & 2,https://www.youtube.com/watch?v=-VLRp4mJdrQ,True,,0:03:38
ERROR,https://www.youtube.com/watch?v=n2eMhVFXjNA,False,"[0;31mERROR:[0m 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:41
ERROR,https://www.youtube.com/watch?v=nFnSBoFeIsc,False,"[0;31mERROR:[0m 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:29
Jerma Streams - MultiVersus,https://www.youtube.com/watch?v=kJIRlNsWBhg,True,,0:01:36
Jerma Streams - Hatsune Miku Project DIVA Mega Mix,https://www.youtube.com/watch?v=GMD77qsvE_I,True,,0:01:11
Jerma Streams - Pac-Man Museum +,https://www.youtube.com/watch?v=LsyBv5nrlaw,True,,0:01:10
Jerma Streams - House Flipper (Part 10),https://www.youtube.com/watch?v=KeUbYPTy4pc,True,,0:05:19
"Archive Update Video - Official Partnership, Channel Improvements, and ChatReplay",https://www.youtube.com/watch?v=_EkDz-nxezc,True,,0:00:52
ERROR,https://www.youtube.com/watch?v=y4NbRcjcsJs,False,"[0;31mERROR:[0m 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:23
Jerma Streams - Murder House,https://www.youtube.com/watch?v=ii3lJoNb62Y,True,,0:02:54
Jerma Streams - Bloodwash,https://www.youtube.com/watch?v=ujx0vHeTk3g,True,,0:03:20
Jerma Streams - Webbed,https://www.youtube.com/watch?v=MsbE-y5WPGQ,True,,0:04:02
Jerma Streams - BeamNG.drive,https://www.youtube.com/watch?v=80gNs37M_3A,True,,0:04:11
ERROR,https://www.youtube.com/watch?v=RBSBKDf70_Q,False,"[0;31mERROR:[0m 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:33
Jerma Streams - Later Alligator,https://www.youtube.com/watch?v=uJaMte54V8c,True,,0:05:32
Jerma Streams - Tier Lists (Part 10),https://www.youtube.com/watch?v=iDtKZkdzha8,True,,0:02:00
Jerma Streams - Dinosaur Fossil Hunter,https://www.youtube.com/watch?v=q8-dNrV3Kdw,True,,0:03:03
Jerma Streams - The House of the Dead: Remake,https://www.youtube.com/watch?v=BYIH8TMDBxI,True,,0:00:39
Jerma Streams - Watching Infomercials (Part 2),https://www.youtube.com/watch?v=g3lduu61X-U,True,,0:07:35
Jerma Streams - The Stanley Parable: Ultra Deluxe,https://www.youtube.com/watch?v=4ZmiQIZbFaE,True,,0:07:14
Jerma Streams - Watching Infomercials,https://www.youtube.com/watch?v=ixn3zi_H9os,True,,0:06:49
Jerma Streams - The Serpent Rogue,https://www.youtube.com/watch?v=GSMuv8HnvEw,True,,0:04:08
ERROR,https://www.youtube.com/watch?v=ho7JT-2iyjc,False,"[0;31mERROR:[0m 
[download] Got error: The read operation timed out",0:00:22
Jerma Streams - The Closing Shift,https://www.youtube.com/watch?v=o0z0SQEaVzU,True,,0:01:57
Jerma Streams - Vampire Survivors (Part 2),https://www.youtube.com/watch?v=rhr1TAJlmB0,True,,0:01:22
Jerma Streams - Inscryption,https://www.youtube.com/watch?v=9PDBJz2gQVE,True,,0:05:16
Jerma Streams - Glover,https://www.youtube.com/watch?v=x4Db5Imjo8k,True,,0:00:30
Jerma Streams - Iron Lung,https://www.youtube.com/watch?v=s-Cn1kDUyAo,True,,0:02:12
Jerma Streams - Blood,https://www.youtube.com/watch?v=dFMDVdp1zNM,True,,0:01:55
Jerma Streams - Vampire Survivors,https://www.youtube.com/watch?v=8hv1w5sVTLc,True,,0:03:08
Jerma Streams - Mon Bazou,https://www.youtube.com/watch?v=kAQuSmGLNfg,True,,0:06:52
Jerma Streams - Wobbledogs,https://www.youtube.com/watch?v=IiYAdJIcVus,True,,0:06:37
Jerma Streams -  MS-DOS Games (Part 8),https://www.youtube.com/watch?v=GkbPH8DwfOg,True,,0:06:33
"Jerma Streams - RISK: Global Domination [With Ludwig, Cr1TiKaL , and Connor]",https://www.youtube.com/watch?v=TdIAZqkb81g,True,,0:06:09
Jerma Streams - Wrestling Empire (Part 3),https://www.youtube.com/watch?v=89BNlJlGh8k,True,,0:05:37
"Jerma Streams - Midnight Ghost Hunt [With Vinny, Ross, Criken, Jolly, Liam, Zamsire, Shesez",https://www.youtube.com/watch?v=gUn1uPr_WmA,True,,0:03:23
ERROR,https://www.youtube.com/watch?v=TXyIa_5tPxU,False,"[0;31mERROR:[0m 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:01:03
Jerma Streams - Fortnite,https://www.youtube.com/watch?v=vWZIuguur-0,True,,0:04:09
Jerma Streams - Tier Lists (Part 9) [FromSoftware Edition],https://www.youtube.com/watch?v=YAqV7rvWD3E,True,,0:05:38
Jerma Streams - Elden Ring (Part 14 Finale),https://www.youtube.com/watch?v=D9zweNKMfWg,True,,0:06:36
Jerma Streams - Bro Vs Bro [with Ludwig],https://www.youtube.com/watch?v=t9HBRf_qWZg,True,,0:05:46
Jerma Streams - Elden Ring (Part 13),https://www.youtube.com/watch?v=i8PLjhIFVlQ,True,,0:05:14
ERROR,https://www.youtube.com/watch?v=k8ll4TuekWo,False,"[0;31mERROR:[0m 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:00:21
Jerma Streams - Elden Ring (Part 12),https://www.youtube.com/watch?v=HB8wVsH5Bmg,True,,0:07:08
Jerma Streams - Elden Ring (Part 11),https://www.youtube.com/watch?v=uFTZaB0J_Qo,True,,0:05:44
Jerma Streams - Elden Ring (Part 10),https://www.youtube.com/watch?v=ht5Wp8FfeXc,True,,0:04:34
Jerma Streams - Elden Ring (Part 9),https://www.youtube.com/watch?v=9tdpx5yp8u4,True,,0:06:55
ERROR,https://www.youtube.com/watch?v=Jd06zyrUzNY,False,"[0;31mERROR:[0m 
[download] Got error: The read operation timed out",0:00:22
Jerma Streams - Big Brain Academy: Brain vs. Brain,https://www.youtube.com/watch?v=mWGTY_HINWo,True,,0:01:19
Jerma Streams - Elden Ring (Part 8),https://www.youtube.com/watch?v=m5BinDuvm5o,True,,0:04:06
Jerma Streams - Picross S,https://www.youtube.com/watch?v=qX8F8gxWfK0,True,,0:01:22
Jerma Streams - Mario Golf: Super Rush,https://www.youtube.com/watch?v=eKkWY4LdYXc,True,,0:02:52
ERROR,https://www.youtube.com/watch?v=4vVyQu_5YJA,False,"[0;31mERROR:[0m 
[download] Got error: <urlopen error [Errno 101] Network is unreachable>",0:01:20
